Threshold,TP,FP,TPR,FPR
190,151,221,1.000000,0.198920
191,151,209,1.000000,0.188119
192,151,194,1.000000,0.174617
193,151,184,1.000000,0.165617
194,151,176,1.000000,0.158416
195,151,166,1.000000,0.149415
196,151,155,1.000000,0.139514
197,151,142,1.000000,0.127813
198,151,139,1.000000,0.125113
199,151,129,1.000000,0.116112
200,151,121,1.000000,0.108911
201,150,112,0.993377,0.100810
202,150,106,0.993377,0.095410
203,150,96,0.993377,0.086409
204,149,88,0.986755,0.079208
205,148,79,0.980132,0.071107
206,146,72,0.966887,0.064806
207,145,67,0.960265,0.060306
208,145,65,0.960265,0.058506
209,143,62,0.947020,0.055806
210,142,54,0.940397,0.048605
211,142,53,0.940397,0.047705
212,141,50,0.933775,0.045005
213,140,45,0.927152,0.040504
214,138,43,0.913907,0.038704
215,133,43,0.880795,0.038704
216,133,40,0.880795,0.036004
217,128,38,0.847682,0.034203
218,125,35,0.827815,0.031503
219,122,34,0.807947,0.030603
220,121,27,0.801325,0.024302
221,116,23,0.768212,0.020702
222,111,18,0.735099,0.016202
223,109,16,0.721854,0.014401
224,102,15,0.675497,0.013501
225,99,12,0.655629,0.010801
226,97,8,0.642384,0.007201
227,90,7,0.596026,0.006301
228,84,6,0.556291,0.005401
229,76,5,0.503311,0.004500
230,73,4,0.483444,0.003600
231,67,4,0.443709,0.003600
232,62,2,0.410596,0.001800
233,57,2,0.377483,0.001800
234,50,1,0.331126,0.000900
235,44,1,0.291391,0.000900
236,41,0,0.271523,0.000000
237,39,0,0.258278,0.000000
238,37,0,0.245033,0.000000
239,33,0,0.218543,0.000000
240,29,0,0.192053,0.000000
241,27,0,0.178808,0.000000
242,23,0,0.152318,0.000000
243,22,0,0.145695,0.000000
244,19,0,0.125828,0.000000
245,16,0,0.105960,0.000000
